acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set
0.0135,0.977,-0.071,-1.8904000000000003,2.4391999999999996,0.9388000000000002,B,bench,heavy,30
-0.0014999999999999996,0.9704999999999999,-0.07949999999999999,-1.6826,-0.8904,2.1708,B,bench,heavy,30
0.0013333333333333333,0.9716666666666667,-0.06433333333333334,2.5608000000000004,-0.2559999999999999,-1.4146,B,bench,heavy,30
-0.024,0.957,-0.0735,8.061,-4.5244,-2.073,B,bench,heavy,30
-0.027999999999999997,0.9576666666666666,-0.115,2.439,-1.5486,-3.6098,B,bench,heavy,30
-0.026000000000000002,0.965,-0.118,0.4634000000000002,5.2194,-6.4636,B,bench,heavy,30
-0.048666666666666664,0.79,-0.14533333333333334,21.695,8.1708,-28.219600000000003,B,bench,heavy,30
-0.16999999999999998,0.8995,-0.25,17.5246,1.5976,-17.5854,B,bench,heavy,30
-0.22266666666666668,0.907,-0.20433333333333334,-7.2318,-1.3536,-0.40260000000000007,B,bench,heavy,30
-0.20450000000000002,0.9299999999999999,-0.14900000000000002,-28.683,-10.207600000000001,20.5732,B,bench,heavy,30
-0.205,1.4046666666666667,-0.09500000000000001,-4.1098,-9.3172,-3.3412000000000006,B,bench,heavy,30
-0.1635,0.996,-0.11299999999999999,35.5488,11.5732,-17.2074,B,bench,heavy,30
-0.22066666666666668,0.904,-0.20833333333333334,4.8902,-0.28040000000000004,-0.13399999999999998,B,bench,heavy,30
-0.222,0.9464999999999999,-0.221,-1.061,-2.1830000000000003,11.3536,B,bench,heavy,30
-0.18433333333333335,0.9913333333333333,-0.19066666666666668,-28.426800000000004,-13.085399999999998,25.2684,B,bench,heavy,30
-0.07350000000000001,0.762,-0.054,-27.524399999999996,-6.3048,22.8052,B,bench,heavy,30
-0.011000000000000001,0.8506666666666667,-0.09433333333333332,12.0852,-0.3536,-5.4024,B,bench,heavy,30
-0.0525,1.025,-0.0375,-6.5366,-0.7194,0.3414,B,bench,heavy,30
-0.065,0.9553333333333334,-0.025333333333333333,1.2684,-3.0246,-1.2318,B,bench,heavy,30
-0.0535,0.9655,-0.038500000000000006,4.8660000000000005,-2.0485999999999995,2.061,B,bench,heavy,30
-0.04066666666666666,0.9899999999999999,-0.034,2.8538,-2.939,1.8656,B,bench,heavy,30
-0.0475,0.961,-0.042499999999999996,2.1586,-1.512,0.3902,B,bench,heavy,30
-0.054,0.9463333333333334,-0.06799999999999999,2.1586,2.7194000000000003,-3.8658,B,bench,heavy,30
-0.0535,0.7685,-0.091,26.8048,11.8292,-22.305,B,bench,heavy,30
-0.128,0.8453333333333334,-0.17066666666666666,27.9146,5.0732,-13.012199999999998,B,bench,heavy,30
-0.1915,0.9179999999999999,-0.2545,-1.9026,-4.5244,-0.8412,B,bench,heavy,30
-0.17966666666666667,0.9666666666666667,-0.17,-31.3658,-3.0612000000000004,20.0366,B,bench,heavy,30
-0.22,1.557,-0.1955,11.3416,-5.061,-12.4998,B,bench,heavy,30
-0.18200000000000002,0.9276666666666668,-0.17200000000000001,19.9268,0.26820000000000005,-15.756,B,bench,heavy,30
-0.2195,0.904,-0.244,6.939,-2.6586,3.0245999999999995,B,bench,heavy,30
-0.225,0.9416666666666668,-0.24633333333333332,-8.6586,-5.1706,7.6586,B,bench,heavy,30
-0.193,0.986,-0.235,-26.0,-10.4634,20.7926,B,bench,heavy,30
-0.10933333333333334,0.8886666666666666,-0.03166666666666667,-41.9512,-4.9878,27.1826,B,bench,heavy,30
-0.010499999999999999,0.6180000000000001,-0.0525,15.487800000000002,-6.939,-4.9876,B,bench,heavy,30
-0.06933333333333334,1.09,-0.009333333333333334,2.1832000000000003,0.14640000000000003,1.6463999999999999,B,bench,heavy,30
-0.06,0.9235,-0.0235,1.7315999999999998,0.09759999999999991,0.7926000000000001,B,bench,heavy,30
-0.04466666666666667,0.975,-0.024333333333333332,3.3171999999999997,0.41459999999999997,4.5607999999999995,B,bench,heavy,30
-0.038,0.9764999999999999,-0.0495,1.5854,-1.9148000000000003,-0.20719999999999983,B,bench,heavy,30
